FirstDepositAddr;ValidatorCount;DepositAddrCount;WithdrawalCreds;_pool
0x80ea0189ce6bbb8ba5f51ec677ca7ae814d57f35;212;3;1;30 x solo,182 x Staked.us
0x91d805fe733d80d86f7e6dfa22259decc9b16628;211;1;1;211 x solo
0xea5e89e393c43e9c6ee71b84c488ee58b2f25a6f;211;3;1;211 x solo
0x9b1c6627c58dd13dfc9d8e166d1712a47b056c59;211;5;2;211 x solo
0x6b8dc709d1a2231f2889b461a9ec605b16ebfb31;210;1;1;210 x solo
0x2915f91dcff0be7b60df411f164827d517caca67;209;1;1;209 x solo
0x9c4fa4ee466dff080adccb12d39b99e83cdb1077;208;1;1;208 x solo
0xe733455faddf4999176e99a0ec084e978f5552ed;207;1;36;207 x solo
0xcf07df57a6b338a20d50114a79fee09d28b13d72;206;1;4;206 x solo
0xd1b5d5ef07e7c2640de7ec6bb144176c7825f38b;206;1;1;206 x solo
0x7a4ae448cf5c20daf97af39ac1248de982f15aa7;206;206;1;206 x solo
0x7ec191ad5cffdd2fc5139a8dd8ab4787a10b9315;203;1;1;203 x solo
0xe6f3945841c074ace5d00d01b326e45dddfd3dcb;203;1;1;203 x stakefish
0xd2b860cda519f48c31059caec9c74a750b6e1f99;202;1;1;202 x Abyss
0x98b92fde3f215f25e9d8ca1c6ec67b65440bf38a;202;1;202;202 x solo
0x82d9730e487dccd1106ebd9ffa5f1200950e7002;202;1;1;202 x solo
0x183b213f71df510f36c80a349f57c52bbef42c57;201;1;2;201 x solo
0xf79caa45612fb183c4e258ed449bfa632d7400b9;201;2;191;201 x solo
0xcb865b302c9ce31b089e08552be8d4efab11046e;201;1;1;201 x solo
0x36e4467c85d55dda7454f7b71439a1e96f4fa5d0;200;2;1;200 x solo
0x9550155a591cdf495249c3d28e3d8bff8999eba1;200;1;200;200 x solo
0xc541d00bf8cd0adb638c19cd1adae061645b32da;200;2;1;200 x solo
0x77693ff03fd85f9181e5e577b8cabfddac00880a;200;3;1;200 x solo
0x9a8dc6dcd9fdc7efadbed3803bf3cd208c91d7c1;200;1;200;200 x Rocketpool
0x6f34119d390486142217bd57904b1fbb8c9a3b92;200;1;200;200 x solo
0xf7394d9fa7dc72bc1bf9ca7f7aa1b3e80973242d;200;1;200;200 x solo
0x3643249eca0b544835c0fc49830e3ee88cf07879;200;1;2;200 x solo
0xd25cde6c21af4047e4647fc89fe081dacee60943;200;1;200;200 x solo
0x3e19c77a0352e3ac4b8107a17f2adf8d30e7cd56;200;1;21;200 x solo
0xcb17f8b84411ccc3ce9a9925b1805e529ef62f73;200;1;200;200 x solo
0x67c89126fb7e793a2fac54e0c4bd8baa53395767;200;1;1;200 x Staked.us
0x2e2f4dfa542d6d8b4817ce45614016f452647439;200;2;1;200 x solo
0x37c3c6f5738a96041fc79772607c7916e355da2a;200;3;1;200 x solo
0xc938b12816c4d662bc7b577929ea4cb8b15b7864;199;1;2;199 x solo
0xbe6242d82c1e3ea1b51ab0560e5f4ec869db6b45;199;1;2;199 x solo
0x71045bb18860efb4ea28b64424b9247e7b0b307b;197;2;1;197 x solo
0x4cbe1c0a3ce609260f02c3f1cc10fcfa15573259;195;1;1;195 x Staked.us
0x161162aaa33bec14f55e04d2699ef6136f23196c;194;1;1;194 x Staked.us
0xc306aab667a4723967f7b74b79eb696571f9de27;192;1;1;192 x solo
0xb348fe70c47cefb8e82b5aacd249a5bf6f0289b3;192;1;1;192 x solo
0x53b55b4b540aed4b2b10575d83dda28bbc170194;191;1;191;191 x solo
0x9f27f1d2975e9fc82d1ee2a18e1e497a3a8a0358;189;7;2;189 x solo
0xa542a25a7981fe775c5d153f0d1803bc27b9ac26;188;1;1;188 x solo
0x327260c50634136551bfe4e4eb082281555aafae;187;1;187;187 x Rocketpool
0x6b616dbe22cc2edc0356354df0ad65b1c3a3f854;186;1;1;3 x solo,183 x Abyss
0xb4b2c32002fae1261308823e8c311193eaee626b;186;1;1;186 x solo
0x3a30afe62a8382b8a76bf80b8d42e5518829b6e2;185;1;1;185 x solo
0xa1540553447ed45224d14e00a1e0ef36239c1ced;184;1;1;184 x solo
0xab31f67ae39921163652d030c6821ea322162cbc;184;4;1;184 x solo
0x5d6411101dc4f706cc4f41c9de51dd289aea7d72;183;1;1;183 x Staked.us
0x78992d75022100d2d0c5c7fbf3181a1f92000813;182;1;1;182 x Staked.us
0x12ec5befa9166fa327d4c345a93f0ac99dd2a7d8;181;2;1;181 x solo
0x09fd1392bde2d994e62bcea64ddea443727a7ed5;180;3;1;180 x solo
0x390127d12612391313077c6b8016fe2befe0eb20;180;1;1;180 x Abyss
0x04022b2586b072f6c135939b9ea3516eac2261aa;178;7;1;178 x stakefish
0x1f691c24d104b6993f03eb3c36d2cc95eaa42063;176;1;176;176 x Rocketpool
0xc50e23e554e3fa422500279f2fdce77e2f3fd4ce;176;1;164;13 x solo,163 x Rocketpool
0xc1a95d5f674f809b80d768c12cad12fbeb5c370c;176;1;176;176 x Rocketpool
0xae7cea441fd85b02f2768dcb849580089d8a81db;175;2;1;175 x solo
0x450c88307d9437885599ac6a3949b2d97b642d84;175;3;1;175 x solo
0x5d8172792a9e649053c07366e3a7c24a37f0c534;175;1;175;175 x Rocketpool
0x80b2886b8ef418cce2564ad16ffec4bfbff13787;175;1;1;175 x solo
0x532a29e9aa56b83d747b7d073830447554cbe220;175;2;1;175 x solo
0x430d527503da91f0273697e5514cc4555a86ff5b;173;1;1;173 x solo
0x3fa0a494634c18988e22f9324a3e1d2a5e2049a9;172;1;172;172 x solo
0x701f4dcead1049fa01f321d49f6dca525cf4a5a5;172;1;172;172 x Rocketpool
0xceb6e54ddc430230cd8e060ca377bbedda8c0e02;171;2;1;171 x solo
0xbc43dbb17243b2087b51cc6affde7bd97ac80bf2;170;1;1;170 x solo
0x7a2ac62780859b04d1475d7b8cde9be5912e3f85;170;2;1;170 x solo
0x07e62776b74032b9b0ef2ed76313a376f886c3f7;170;1;1;170 x solo
0x111976ddf9bb0d91c576ccfd64f29dc1bde23657;166;1;1;166 x solo
0x1cf78def332593ea3b72dba714a694a75ae3c63b;165;2;3;165 x solo
