FirstDepositAddr;ValidatorCount;DepositAddrCount;WithdrawalCreds;_pool
0xca53c930538888ad9807a3891923d20a49e91233;22;1;22;22 x solo
0xa366907e124b08c09f63ae2507b630ac9533d4ed;22;1;22;22 x solo
0x78693a6bce41cb56d822ff039470ddaee0d47e72;22;1;2;22 x solo
0x4ee6c6163c7b127c25ec46ae811f0680a4322684;22;1;1;22 x solo
0x7bb2b9ef3a989622d1b91990f488e485d7eca6ce;22;2;1;22 x solo
0x49c6aed2e9114667f7897f3f2fdcdde91c4c5160;22;1;22;22 x solo
0x5af288f06a56638e468b25dd52bba43887ca9326;22;1;22;22 x solo
0x593cc102b6fd7e2fcceacf03929ab3154a8263ee;22;1;7;22 x solo
0x13e2926facd4e56a8f4412a945ea038f62de22a5;21;1;21;21 x solo
0x5628262f1543366d129ba6cb1aca54070b786d9e;21;1;1;21 x solo
0xf88796b46d67a397538c72a5596864fc4f940680;21;1;21;21 x solo
0x27f6db188ec4bb1b9f625db7a7fe5274fdc892bd;21;4;1;21 x solo
0xf87ce7c1e5bbda8fc622529e75d8a5f811b444cb;21;1;21;21 x solo
0x597ed69cf69c0d090ec768845a0ddf40e2f23dc6;21;2;2;21 x solo
0x67ce5c69260bd819b4e0ad13f4b873074d479811;21;1;21;21 x solo
0xcce64b20e758e2dd84576aaaf5031b064b32cb30;21;1;1;21 x solo
0x00dfaae92ed72a05bc61262aa164f38b5626e106;21;4;4;10 x Abyss Finance,11 x solo
0xff9f720ceea8986ad8f187a7fb265b57072cd944;21;1;1;21 x solo
0x589a0d87d600a6c6faa34c491c9e779f434bc51d;21;4;1;21 x solo
0xa2a1fcbee02bac86f6cea131b3dc9e584b17bd36;21;1;1;21 x solo
0xa721da3d06813e764e94a23e377cc3e1729fcfd5;21;1;2;21 x solo
0x57dec424a5d2372917bd4dd29b3aa1ade5d05315;21;2;5;21 x solo
0x6cb94ff20e31970da7d9bfadd37d4665a21dfa88;20;1;20;20 x Abyss Finance
0xdf4274646ecb1d45c3617ef8eb94268ce19f1cd1;20;1;1;20 x solo
0xca9c59c9953eb2139a0218f334cf14bec8867539;20;1;20;20 x solo
0x6dc6824cd3f314903d368cf6b3eb7a1eaa245244;20;1;20;20 x Abyss Finance
0x68a0e194d6ff0bb2d3197d7d98b3ddeeb30880e9;20;1;20;20 x Abyss Finance
0x61c1441c817c5fe8329cc0ea785b47f267d78ecf;20;1;20;20 x Abyss Finance
